vert,edge,prob
100,1,0.9079801533362216
100,75,0.032412184014422585
100,56,0.8534212328516549
100,1,0.43666946923069927
100,7,0.027445003759697162
100,21,0.44105031864272926
100,24,0.034880824551040024
100,29,0.15206971229515598
100,8,0.15177382299024822
100,3,0.012834874205123858
100,79,0.6430646730382552
100,42,0.017966919179437713
100,18,0.4740799999654075
100,61,0.2236743260048536
100,58,0.7742377692021647
100,10,0.0007338175901928645
100,2,0.22635819545603109
100,3,0.22934194803085994
100,1,0.6623821404479973
100,11,0.11713683210531145
100,6,0.15587459236535128
100,52,0.20853638389435136
100,2,0.10271974433083009
100,56,0.03406654661743602
100,25,0.12815161193837743
100,25,0.10219461530443197
100,5,0.49987942923911877
100,11,0.0022661589795456294
100,17,0.060731186285752026
100,4,0.04189757197233768
100,5,0.0319714891245646
100,40,0.13112652113588152
100,13,0.13089158941040735
100,85,0.48191532749298893
100,2,0.5605817458485459
100,106,0.8277259445681877
100,133,0.7128339909157164
100,2,0.18028060808702284
100,36,0.02583042686006365
100,106,0.032818694506963175
100,33,0.10251299338158892
100,6,0.2574401387982588
100,30,0.03145383613339947
100,5,0.3925273357505563
100,25,0.6119857844611334
100,3,0.020363102255412713
100,10,0.00016725247231297313
100,4,0.0010277000236031952
100,16,0.08133760123338418
100,5,0.5254807625072835
100,17,0.03257062155418233
100,8,0.12884555744617843
100,46,0.16371396897628698
100,2,0.026906846364763037
100,2,0.1504841385027057
100,8,0.7968121487731951
100,2,0.11486528510987115
100,45,0.10275040811298575
100,15,0.17852027708014906
100,78,0.5953109785275277
100,65,0.2320530309795963
100,13,0.052359167408642326
100,17,0.17993106540709303
100,2,0.1980028584273401
100,5,6.331092119427062e-05
100,4,0.06545983123206656
100,2,0.1303355906912833
100,21,0.08675097133519527
100,57,0.26757493338737826
100,3,0.0038962819589443143
100,17,0.6332571593992135
100,17,0.4306020860132328
100,85,0.7596605870798148
100,82,0.6357666640689642
100,2,0.18518413089367503
100,8,0.00644285031869396
100,7,0.012864757736382959
100,16,0.03343313049452312
100,30,0.29556485491400053
100,8,0.2933710337978407
100,18,0.01408509350742393
100,44,0.6016844353585631
100,37,0.2083373063051971
100,7,0.09945777737924599
100,71,0.8707178497423106
100,7,0.3071411103460795
100,3,0.28451232381256264
100,81,0.13382984029274958
100,1,0.001631845376639074
100,32,0.30764322967486823
100,54,0.029349206436726782
100,2,0.8742858462715973
100,91,0.20070294937556865
100,5,0.04245156390138993
100,1,0.9835477693502425
100,21,0.31872109961686335
100,1,0.3593120979498905
100,149,0.16035450142828456
100,1,0.9192334350184066
100,2,0.4060331585099346
100,55,0.6352524711676111
100,65,0.6043143413225942
100,2,0.14878310493707358
100,68,0.7860437543194057
100,38,0.30310563220585074
100,87,0.6550402835559876
100,45,0.5249749595873463
100,81,0.6433032265067915
100,4,0.07789664344842484
100,2,0.1564259315112484
100,92,0.9476008617119216
100,12,0.5997577691778607
100,2,0.17041063386144895
100,10,0.3304672219128866
100,2,0.12437128517810403
100,82,0.4956696449150291
100,5,0.07009277365108524
100,54,0.12974749281284992
100,53,0.33985633614286836
100,4,0.0127408810976819
100,69,0.10826069113046843
100,14,0.05126733893385238
100,1,0.775020072873128
100,60,0.08466232095945292
100,22,0.00033294359655300365
100,66,0.44226717018111594
100,48,0.8239763543973871
100,4,0.13539623448464033
100,20,0.00044861794037920344
100,27,0.04829810073704577
100,108,0.1877931217918225
100,88,0.4550776010926294
100,7,0.18497400608118642
100,111,0.2861655907151197
100,3,0.0392950610308872
100,10,0.0295257085440519
100,3,0.019186543603526007
100,2,0.5763761800502573
100,24,0.14277033765723834
100,71,0.15707912025721626
100,25,0.45774330875008684
100,45,0.9715488168016692
100,3,0.11771840256479271
100,13,0.0051167750059445405
100,51,0.07645745711843666
100,86,0.9321637265759574
100,77,0.3654175924039973
100,62,0.7629252537114508
100,55,0.5213415434708024
100,2,0.040858281726550705
100,3,0.10925860317561842
100,65,0.6647646973811645
100,85,0.8765029304920945
100,13,0.1779972300186634
100,11,2.9649426865563377e-05
100,27,0.026965268414251953
100,2,0.5443751191836734
100,3,0.0014378546544003834
100,85,0.9499032770136396
100,15,0.24507574127600062
100,36,0.17634349766144863
100,1,0.7125490656195501
100,27,0.23306312929261752
100,99,0.1993978023472598
100,11,0.0002101441581987551
100,10,0.5833060347133189
100,3,0.04500967440006698
100,3,0.07102853474354931
100,25,0.011762036809432885
100,90,0.03703676570410208
100,17,0.18020026099435027
100,8,0.2814994843471412
100,17,0.23788406116168292
100,90,0.5861327940474292
100,21,0.487249183663929
100,116,0.7491028005898931
100,11,0.424930126594799
100,7,0.14981258199027292
100,29,0.5925587514377546
100,5,0.030574023182392107
100,10,0.11471328013124726
100,5,0.23582721849529475
100,5,0.0791576350629315
100,23,0.8140323312353716
100,4,0.026971627228171702
100,2,0.08620079688976379
100,45,0.3492846856515043
100,4,0.07889598600752412
100,25,0.04739241452998866
100,6,0.31294870489539217
100,30,0.6888172098041643
100,93,0.9222575535992446
100,96,0.557626841632108
100,6,0.2716692869460793
100,5,0.18123272010623215
100,4,0.3352407723666231
100,1,0.6370465378099295
100,89,0.4986760072787282
100,43,0.012325712601449879
100,3,0.0002652538861974696
100,18,0.4099647784825885
100,81,0.25815973048362173
100,38,0.06815943319585449
100,2,0.4902668273210127
100,29,0.3189030729679677
100,4,0.13360207882613107
100,2,0.07204826734921188
100,1,0.27594639038724
100,53,0.1645630632238182
100,57,0.7009189208308662
100,11,0.1095691656337312
100,4,0.07193189224370888
100,8,0.2563136423957517
100,16,0.16032943176754344
100,101,0.2431675985597006
100,1,0.42569980077526093
100,4,0.07302018616373762
100,1,0.3596377485612504
100,3,0.09142316817914053
100,9,0.014104639193020851
100,48,0.06282265673154053
100,7,0.006683590197927969
100,10,0.0012906780232641024
100,16,0.3255798561468283
100,33,0.07027676466706256
100,89,0.18029019528375823
100,133,0.5078080875130635
100,5,0.14794343466316728
100,3,0.2212362124766083
100,15,0.09992483756488091
100,2,0.09855627752775964
100,63,0.09964489876177207
100,41,0.2602892638881861
100,3,0.00208218195140375
100,2,0.4970336656321864
100,3,0.0023828544596977697
100,23,0.8390301792881925
100,2,0.07539395370327795
100,10,0.018560686723394282
100,24,0.28742741783512793
100,83,0.7319489026063901
100,52,0.17874882361666955
100,3,0.008248257915335455
100,4,0.10239088979358402
100,102,0.581859732498845
100,3,0.30584831190562134
100,5,0.09031634569079738
100,2,0.027438066031286623
100,2,0.3520957887364017
100,48,0.0016236317842082126
100,42,0.7352989872633764
100,2,0.42449287305903827
100,1,0.5260572206083985
100,5,0.13581510859183887
100,63,0.04624488987194997
100,34,0.21098130106120405
100,85,0.6488172863076231
100,2,0.14997205783729617
100,60,0.12800008347257286
100,20,0.04708211747430868
100,2,0.2765170621589137
100,2,0.5381416009044686
100,1,0.7005481727233361
100,6,0.35430339400948996
100,5,0.013013130277798934
100,2,0.056625813633243816
100,4,0.05192421319829166
100,19,0.9849931848240776
100,24,0.050605289817876487
100,1,0.9428509844061856
100,84,0.7900780299451241
100,15,0.01392172740522879
100,3,0.8568916276906536
